1,1,""
1,23937,""
2,2,""
2,23938,""
3,3,""
3,23939,""
4,4,""
4,23940,""
5,5,Theater
5,23941,Theater
6,6,Theme
6,23942,Theme
7,7,Theory
7,23943,Theory
8,8,And
8,23944,And
9,9,Ah
9,23945,Ah
10,10,Abaza
10,23946,Abaza
11,11,Abazian
11,23947,Abazian
12,12,Abbot
12,23948,Abbot
13,13,Abbess
13,23949,Abbess
14,14,Abyssinian
14,23950,Abyssinian
15,15,Abyssinian
15,23951,Abyssinian
16,16,Or
16,23952,Or
17,17,Abrakadabra
17,23953,Abrakadabra
18,18,Anyhow
18,19,For
18,23954,Anyhow
18,23955,For
19,20,--
19,23956,--
20,21,"Adriatic sea"
20,23957,"Adriatic sea"
21,22,Yeah
21,23958,Yeah
22,23,Hej
22,23959,Hej
23,24,Ah
23,23960,Ah
24,25,If
24,23961,If
25,26,"But, however"
25,23962,"But, however"
26,27,Alexander
26,23963,Alexander
27,28,Alex
27,23964,Alex
28,29,Alps
28,23965,Alps
29,30,Allah
29,23966,Allah
30,31,Hallelujah
30,23967,Hallelujah
31,32,But
31,23968,But
32,33,Andorra
32,23969,Andorra
33,34,Andrew
33,23970,Andrew
34,35,Shed
34,23971,Shed
35,36,Antichrist
35,23972,Antichrist
36,37,Waiting
36,23973,Waiting
37,38,Apostol
37,23974,Apostol
38,39,Arabs
38,23975,Arabs
39,40,Archangelsk
39,23976,Archangelsk
40,41,Archimandrite
40,23977,Archimandrite
41,42,Arsenic
41,23978,Arsenic
42,43,Astrachan
42,23979,Astrachan
43,44,Ataman
43,23980,Ataman
44,45,Atom
44,23981,Atom
45,46,Atyrau
45,23982,Atyrau
46,47,I
46,48,I
46,23983,I
46,23984,I
47,49,Even
47,23985,Even
48,50,Alfabet
48,23986,Alfabet
49,51,Alfabet
49,23987,Alfabet
50,52,Azerbajan
50,23988,Azerbajan
51,53,Grandmother
51,23989,Grandmother
52,54,Grandma
52,23990,Grandma
53,55,Grandma
53,23991,Grandma
54,56,Swamp
54,23992,Swamp
55,57,Bayan
55,23993,Bayan
56,58,Bayanist
56,23994,Bayanist
57,59,Balalayka
57,23995,Balalayka
58,60,Balts
58,23996,Balts
59,61,Bathhouse
59,23997,Bathhouse
60,62,Banana
60,23998,Banana
61,63,Banjo
61,23999,Banjo
62,64,Mandolin
62,65,Bandura
62,24000,Mandolin
62,24001,Bandura
63,66,Baobab
63,24002,Baobab
64,67,Bar
64,24003,Bar
65,68,Mire
65,24004,Mire
66,69,Very
66,24005,Very
67,70,Bass
67,24006,Bass
68,71,Poem
68,24007,Poem
69,72,Violoncello
69,24008,Violoncello
70,73,"Brother (elder)"
70,24009,"Brother (elder)"
71,74,Luggage
71,24010,Luggage
72,75,Luggage
72,24011,Luggage
73,76,Slow
73,24012,Slow
74,77,Market
74,24013,Market
75,78,Bog
75,24014,Bog
76,79,Bee
76,24015,Bee
77,80,Beekeeper
77,24016,Beekeeper
78,81,Beekeeper
78,24017,Beekeeper
79,82,Beekeeping
79,24018,Beekeeping
80,83,Baby
80,24019,Baby
81,84,Trouble
81,24020,Trouble
82,85,"Get poorer"
82,24021,"Get poorer"
83,86,Misery
83,87,Poverty
83,24022,Misery
83,24023,Poverty
84,88,Penury
84,24024,Penury
85,89,Poor
85,24025,Poor
86,90,Thigh
86,24026,Thigh
87,91,Disaster
87,24027,Disaster
88,92,Run
88,24028,Run
89,93,Runner
89,24029,Runner
90,94,Run
90,24030,Run
91,95,Wittenberge
91,96,Saratov
91,24031,Wittenberge
91,24032,Saratov
92,97,Belgorod
92,24033,Belgorod
93,98,Belgrad
93,24034,Belgrad
94,99,Whitewash
94,24035,Whitewash
95,100,Belgium
95,24036,Belgium
96,101,Whitestone
96,24037,Whitestone
97,102,Belorussia
97,24038,Belorussia
98,103,Belorussian
98,24039,Belorussian
99,104,Belorussians
99,24040,Belorussians
100,105,White
100,24041,White
101,106,Gasoline
101,24042,Gasoline
102,107,Berlin
102,24043,Berlin
103,108,Demon
103,24044,Demon
104,109,Imp
104,24045,Imp
105,110,Conversation
105,24046,Conversation
106,111,Concrete
106,24047,Concrete
107,112,Concrete
107,24048,Concrete
108,113,Without
108,24049,Without
109,114,Uncountable
109,24050,Uncountable
110,115,Childless
110,24051,Childless
111,116,Childlessness
111,24052,Childlessness
112,117,Childless
112,24053,Childless
113,118,Homeless
113,24054,Homeless
114,119,Homeless
114,24055,Homeless
115,120,Runner
115,24056,Runner
116,121,Run
116,24057,Run
117,122,Voiceless
117,123,Voiceless
117,24058,Voiceless
117,24059,Voiceless
118,124,Headless
118,125,Headless
118,24060,Headless
118,24061,Headless
119,126,Infinity
119,24062,Infinity
120,127,Unlimitedness
120,24063,Unlimitedness
121,128,Endless
121,24064,Endless
122,129,Noseless
122,24065,Noseless
123,130,Noseless
123,24066,Noseless
124,131,Forgetful
124,24067,Forgetful
125,132,Forgetfulness
125,24068,Forgetfulness
126,133,Carelessness
126,24069,Carelessness
127,134,Fruitless
127,24070,Fruitless
128,135,Restless
128,24071,Restless
129,136,Rootless
129,24072,Rootless
130,137,Handless
130,24073,Handless
131,138,Undoubtedly
131,24074,Undoubtedly
132,139,Madman
132,24075,Madman
133,140,Mad
133,24076,Mad
134,141,Madness
134,24077,Madness
135,142,Calmness
135,24078,Calmness
136,143,Hairless
136,24079,Hairless
137,144,Waterless
137,24080,Waterless
138,145,Spineless
138,24081,Spineless
139,146,Toothless
139,24082,Toothless
140,147,Toothless
140,24083,Toothless
141,148,Would
141,24084,Would
142,149,Bible
142,24085,Bible
143,150,Billion
143,24086,Billion
144,151,Beat
144,24087,Beat
145,152,Beat
145,24088,Beat
146,153,Battle
146,24089,Battle
147,154,Battle
147,24090,Battle
148,155,"Battle scenic"
148,24091,"Battle scenic"
149,156,Business
149,24092,Business
150,157,Thank
150,24093,Thank
151,158,Thank
151,24094,Thank
152,159,Thankful
152,24095,Thankful
153,160,Congratulate
153,24096,Congratulate
154,161,Euphemism
154,24097,Euphemism
155,162,Swamp
155,24098,Swamp
156,163,Clown
156,24099,Clown
157,164,Pale
157,24100,Pale
158,165,Shine
158,24101,Shine
159,166,Ligthning
159,24102,Ligthning
160,167,Close
160,24103,Close
161,168,Close
161,169,Close
161,24104,Close
161,24105,Close
162,170,Twins
162,24106,Twins
163,171,Treasury
163,24107,Treasury
164,172,Fornication
164,24108,Fornication
165,173,Wander
165,174,Wander
165,24109,Wander
165,24110,Wander
166,175,Plate
166,24111,Plate
167,176,Fornicate
167,24112,Fornicate
168,177,Bitch
168,24113,Bitch
169,178,Prodigal
169,24114,Prodigal
170,179,Dish
170,24115,Dish
171,180,Bean
171,24116,Bean
172,181,Beaver
172,182,Beaver
172,24117,Beaver
172,24118,Beaver
173,183,Cooper
173,24119,Cooper
174,184,Oranienburg
174,24120,Oranienburg
175,185,Butt
175,24121,Butt
176,186,Stimulus
176,24122,Stimulus
177,187,Cooper
177,24123,Cooper
178,188,Cooper
178,24124,Cooper
179,189,God
179,24125,God
180,190,"Rich man"
180,191,"Wealthy man"
180,24126,"Rich man"
180,24127,"Wealthy man"
181,192,Cripple
181,24128,Cripple
182,193,Rich
182,24129,Rich
183,194,Wealthy
183,24130,Wealthy
184,195,Wealth
184,24131,Wealth
185,196,Hero
185,198,Bogatyr
185,24132,Hero
185,24134,Bogatyr
186,197,Rich
186,24133,Rich
187,199,Goddess
187,24135,Goddess
188,200,Fight
188,24136,Fight
189,201,Boyar
189,24137,Boyar
190,202,Coward
